id,Medication_code_codingPharmazentralnummer_code,Medication_code_codingPharmazentralnummer_system,Medication_code_codingPharmazentralnummer_version,Medication_code_codingAtcclassde_code,Medication_code_codingAtcclassde_system,Medication_code_codingAtcclassde_version,Medication_code_codingAtcclassen_code,Medication_code_codingAtcclassen_system,Medication_code_codingAtcclassen_version,Medication_ingredient_extensionWirkstoffrelation_extensionIngredientreference_value_X_Valuereference_reference,Medication_ingredient_extensionWirkstoffrelation_extensionIngredienturi_value_X_Valueuri,Medication_ingredient_extensionWirkstofftyp_value_X_Valuecoding_system,Medication_ingredient_extensionWirkstofftyp_value_X_Valuecoding_code,Medication_ingredient_extensionWirkstofftyp_value_X_Valuecoding_version,Medication_ingredient_isActive,Medication_ingredient_item_X_Itemcodeableconcept_codingAsk_code,Medication_ingredient_item_X_Itemcodeableconcept_codingAsk_system,Medication_ingredient_item_X_Itemcodeableconcept_codingAsk_version,Medication_ingredient_item_X_Itemcodeableconcept_codingCas_code,Medication_ingredient_item_X_Itemcodeableconcept_codingCas_system,Medication_ingredient_item_X_Itemcodeableconcept_codingCas_version,Medication_ingredient_item_X_Itemcodeableconcept_codingSnomed_code,Medication_ingredient_item_X_Itemcodeableconcept_codingSnomed_system,Medication_ingredient_item_X_Itemcodeableconcept_codingSnomed_version,Medication_ingredient_item_X_Itemcodeableconcept_codingUnii_code,Medication_ingredient_item_X_Itemcodeableconcept_codingUnii_system,Medication_ingredient_item_X_Itemcodeableconcept_codingUnii_version,Medication_ingredient_item_X_Itemreference_reference,Medication_ingredient_strength_denominator_code,Medication_ingredient_strength_denominator_comparator,Medication_ingredient_strength_denominator_system,Medication_ingredient_strength_denominator_unit,Medication_ingredient_strength_denominator_value,Medication_ingredient_strength_numerator_code,Medication_ingredient_strength_numerator_comparator,Medication_ingredient_strength_numerator_system,Medication_ingredient_strength_numerator_unit,Medication_ingredient_strength_numerator_value
e49bcce8449b89135d9d179ed0123c95,,,,G03AA07,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,02200,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,0.03
e49bcce8449b89135d9d179ed0123c95,,,,G03AA07,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,03335,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,0.15
b465502f20feefb51452b4e358f1be2c,03705422,http://fhir.de/CodeSystem/ifa/pzn,,V06DC01,http://fhir.de/CodeSystem/bfarm/atc,2023,V06DC01,http://www.whocc.no/atc,2023,,,,,,true,12829,http://fhir.de/CodeSystem/ask,20260105,,,,67079006,http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20230731,5SL0G7R0OK,http://fdasis.nlm.nih.gov,,,ml,,http://unitsofmeasure.org,ml,1000,g,,http://unitsofmeasure.org,g,50
b465502f20feefb51452b4e358f1be2c,03705422,http://fhir.de/CodeSystem/ifa/pzn,,V06DC01,http://fhir.de/CodeSystem/bfarm/atc,2023,V06DC01,http://www.whocc.no/atc,2023,,,,,,false,00343,http://fhir.de/CodeSystem/ask,20260105,,,,11713004,http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20230731,059QF0KO0R,http://fdasis.nlm.nih.gov,,,,,,,,,,,,
63d67031714a98bc3684a3cb282f740b,,,,B01AB01,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,12545,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,5,[iU],,http://unitsofmeasure.org,IU,25000
a7a7472f05dd84abd2ca2f5ca2cc79d6,,,,M01AE01,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,23391,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,400
03be07172fba37aefc50df6745eb764c,,,,L02AE02,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,34837,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,1,mg,,http://unitsofmeasure.org,mg,3.75
1145339b5be2e4022ec1b2f175e1dfb6,00651306,http://fhir.de/CodeSystem/ifa/pzn,,N02BB02,http://fhir.de/CodeSystem/bfarm/atc,2023,,,,,,,,,,12915,http://fhir.de/CodeSystem/ask,,,,,,,,,,,,10221000,,http://standardterms.edqm.eu,Film-coated tablet,1,mg,,http://unitsofmeasure.org,milligram,500
c007df9697a5e8ce8305e11dc7dedc4f,,,,C07AB02,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,11849,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,50
d708c3967ceb13bf440f9f6ef85c500f,,,,N02AA01,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,07651,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,10
052f280bf5dc5cbba8af624fb820010b,,,,A02BC01,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,29052,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,20
7880dc033c288f873f4756237d869da8,,,,L01XA03,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,29849,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,17,mg,,http://unitsofmeasure.org,mg,85
469396ee158198a25a5838c76cb925ae,,,,L01CD01,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,26509,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,29,mg,,http://unitsofmeasure.org,mg,175
c720ed663dcfef9d349974796892297b,,,,A02BC02,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,24848,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,40
52f68fb89d70c28df3f3c14811c2eb82,,,,N02BE01,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,01212,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,500
2c6e4edca80c172b271bdf78a5d48059,,,,N01AX10,http://fhir.de/CodeSystem/bfarm/atc,2023,,,,,,,,,,22898,http://fhir.de/CodeSystem/ask,,,,,387423006,http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20230731,YI7VU623SF,http://fdasis.nlm.nih.gov,,,,,,,,,,,,
85f96e988efc6d21552be359612c8d01,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,mL,,http://unitsofmeasure.org,milliliter,250,mg,,http://unitsofmeasure.org,mg,85
85f96e988efc6d21552be359612c8d01,,,,,,,,,,,,,,,true,,,,,,,,,,,,,Medication/b465502f20feefb51452b4e358f1be2c,,,,,,,,,,
850fb2cc72e33ecd16c677707f85dca9,,,,R03AC02,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,09051,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,ug,,http://unitsofmeasure.org,μg,100
c3f585b0b5b3a2a606c80e22a4ad4e5b,,,,N02CC01,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,24065,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,50
11268f6a9ddec23310ed118a14542a07,,,,N03AX11,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,24994,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,50
